DATAFLOW,LAST UPDATE,freq,isco08,wstatus,worktime,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,AT,2023,33.6,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,BA,2023,41.4,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,BE,2023,34.9,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,BG,2023,39.0,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,CH,2023,36.2,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,CY,2023,38.5,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,CZ,2023,37.8,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,DE,2023,34.0,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,DK,2023,34.3,b
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,EA20,2023,35.4,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,EE,2023,36.4,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,EL,2023,39.8,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,ES,2023,36.4,d
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,EU27_2020,2023,36.1,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,FI,2023,34.8,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,FR,2023,36.0,d
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,HR,2023,38.1,b
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,HU,2023,37.8,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,IE,2023,35.5,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,IS,2023,36.2,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,IT,2023,36.1,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,LT,2023,38.3,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,LU,2023,35.3,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,LV,2023,38.4,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,MT,2023,37.3,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,NL,2023,32.2,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,NO,2023,33.9,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,PL,2023,39.3,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,PT,2023,37.7,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,RO,2023,39.5,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,RS,2023,41.7,b
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,SE,2023,35.7,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,SI,2023,38.1,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,SK,2023,37.6,
ESTAT:LFSA_EWHAIS(1.0),13/06/24 23:00:00,A,TOTAL,EMP,TOTAL,Y20-64,T,HR,TR,2023,44.2,
