DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sbs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,AT,2021,12362,b
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,BE,2021,14509,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,BG,2021,5170,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,CY,2021,3951,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,CZ,2021,23943,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,DE,2021,74852,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,DK,2021,15223,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,EE,2021,3807,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,EL,2021,15688,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,ES,2021,43938,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,EU27_2020,2021,759159,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,FI,2021,14721,b
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,FR,2021,135348,b
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,HR,2021,1597,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,HU,2021,26628,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,IE,2021,16605,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,IT,2021,106949,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,LT,2021,1067,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,LU,2021,2230,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,LV,2021,2301,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,MT,2021,1761,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,NL,2021,113912,b
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,NO,2021,20015,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,PL,2021,59398,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,PT,2021,17159,b
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,RO,2021,13027,b
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,RS,2021,2172,b
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,SE,2021,18639,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,SI,2021,2033,
ESTAT:SBS_OVW_ACT(1.0),22/03/24 23:00:00,A,K,ENT_NR,SK,2021,12341,
